,event,nHits,hitTime,isDN,pmt_id,pmt_x,pmt_y,pmt_z
78105466,22,12466,331.8706,False,10805,5254.215999999999,11089.263,-14766.903999999999
78126005,22,12466,113.77741,True,7487,-17229.23,7921.0146,3008.5063
78171646,22,12466,156.2256,False,9770,7305.415,-4003.4775,-17298.645
78176891,22,12466,153.3339,False,9055,-2856.2786,1291.1193,-18942.404
78202812,22,12466,212.38853,False,15088,5305.633000000001,-17548.273,-5705.118
78238543,22,12466,343.2339,False,11457,-1479.9553,-13564.971000000001,-13507.083999999999
78238544,22,12466,783.88965,True,11457,-1479.9553,-13564.971000000001,-13507.083999999999
78243741,22,12466,161.88243,False,11637,9006.636999999999,-10662.1875,-13184.774
78254498,22,12466,109.77766,False,1868,10987.969,-4622.7314,15051.076000000001
78290212,22,12466,144.3503,False,9619,7485.534000000001,2599.2607,-17488.586
78310469,22,12466,444.003,False,11487,12014.309,-6469.5493,-13507.083999999999
78315847,22,12466,483.82858,False,13839,-16828.898,4104.1807,-8281.537
78326798,22,12466,183.5881,False,11128,-12409.595,-3670.9126,-14183.3125
78347367,22,12466,111.00831,False,8739,16444.805,9905.25,307.27652
78352846,22,12466,144.80994,False,12364,-11013.812,10821.118999999999,-11412.245
78362737,22,12466,148.64774,False,8972,-1204.6443,1010.8166,-19135.492
78403842,22,12466,137.60674,False,11853,-11207.516000000001,9279.126,-12527.146999999999
78409040,22,12466,387.94907,True,17418,-16832.459,-9205.029,-758.8111
78446090,22,12466,201.74518,False,13124,-4537.044,-15833.14,-9867.466999999999
78466603,22,12466,150.26125,False,5557,-5924.5176,16874.518,6985.0376
78477163,22,12466,91.66531,False,3782,15699.282,-277.11163,11049.694
78477164,22,12466,89.79274,False,3782,15699.282,-277.11163,11049.694
78559706,22,12466,-82.74804,True,14302,16609.373,-6078.668000000001,-7471.1797
78575120,22,12466,132.26909,False,10964,-3577.329,12093.233,-14477.445
78580104,22,12466,118.59192,False,11224,-1183.1107,13271.303999999998,-13824.354
78616174,22,12466,149.81587,False,13736,15985.45,-6141.1147,-8682.860999999999
78630466,22,12466,732.38135,True,8978,-273.07068,-1548.6608,-19135.492
78671506,22,12466,139.28761,False,10178,10196.444,2095.4226,-16133.249
78686577,22,12466,103.6702,False,12153,9427.608,11883.188,-11770.728000000001
78686578,22,12466,97.2244,False,12153,9427.608,11883.188,-11770.728000000001
78691733,22,12466,211.51468,False,5850,-8168.3184,-16089.575,6560.803000000001
78702059,22,12466,165.42403,False,11705,-8763.746,11247.59,-12858.013
78742796,22,12466,110.089355,False,15346,18481.578,1905.9246,-4841.353
78784672,22,12466,386.612,True,9614,7396.279,-833.3605,-17698.604
78819699,22,12466,25.953728,False,6351,5601.683000000001,17591.021,5274.196
78819700,22,12466,33.40049,False,6351,5601.683000000001,17591.021,5274.196
78819701,22,12466,50.81361,False,6351,5601.683000000001,17591.021,5274.196
78819702,22,12466,29.288504,False,6351,5601.683000000001,17591.021,5274.196
78819703,22,12466,30.65446,False,6351,5601.683000000001,17591.021,5274.196
78819704,22,12466,30.295858,False,6351,5601.683000000001,17591.021,5274.196
78819705,22,12466,122.361435,False,6351,5601.683000000001,17591.021,5274.196
78819706,22,12466,24.263474,False,6351,5601.683000000001,17591.021,5274.196
78819707,22,12466,24.674263,False,6351,5601.683000000001,17591.021,5274.196
78819708,22,12466,29.6125,False,6351,5601.683000000001,17591.021,5274.196
78851168,22,12466,412.47897,False,558,-7007.196999999999,525.1168,17867.945
78851169,22,12466,120.3135,False,558,-7007.196999999999,525.1168,17867.945
78881780,22,12466,720.80963,True,16015,-787.38477,18870.023,-3455.7495
78892276,22,12466,161.10602,False,10050,4712.0713,-8343.996,-16637.732
78897859,22,12466,332.59006,False,16335,-8632.423,-16884.021,-3008.5063
78902995,22,12466,171.44046,False,9524,5805.852,-3958.3628,-17867.945
78913027,22,12466,142.47968,False,6709,13233.835,-13040.971000000001,4841.353
78928744,22,12466,221.93231,False,12756,-3628.3108,-15535.145,-10683.382
78928745,22,12466,248.96918,False,12756,-3628.3108,-15535.145,-10683.382
78928746,22,12466,193.39348,False,12756,-3628.3108,-15535.145,-10683.382
78948753,22,12466,742.8832,False,10568,-8536.873,7712.7837,-15371.231000000002
78948754,22,12466,375.7491,False,10568,-8536.873,7712.7837,-15371.231000000002
78948755,22,12466,135.75426,False,10568,-8536.873,7712.7837,-15371.231000000002
79035036,22,12466,90.59543,False,13031,1704.207,16381.965,-9867.466999999999
79035037,22,12466,87.79971,False,13031,1704.207,16381.965,-9867.466999999999
79056747,22,12466,85.43828,False,12487,8404.045,13263.344,-11049.694
79056748,22,12466,108.09402,False,12487,8404.045,13263.344,-11049.694
79061970,22,12466,172.4632,False,6943,18294.201,-3813.7615,4406.5186
79067473,22,12466,219.09174,False,17200,-14192.395,-12874.471000000001,-1209.9257
79124611,22,12466,102.06043,False,16436,13914.585,12979.579,-2560.2473
79134577,22,12466,190.3498,False,15280,-5082.8584,-17747.885,-5274.196
79181745,22,12466,117.723114,False,239,2855.0586,-3702.5059,18622.033
79197232,22,12466,182.01869,False,11440,-9601.021,-9696.344000000001,-13507.083999999999
79227756,22,12466,218.09282,False,13818,-10645.207,13665.127,-8281.537
79238768,22,12466,208.09575,False,9351,-5971.308000000001,-1305.0967,-18201.104
79279320,22,12466,98.185196,False,136,-1178.8467,3455.482,18849.668
79310048,22,12466,132.72635,False,10561,-4267.779,10684.161,-15371.231000000002
79315479,22,12466,173.62663,False,10502,1688.5088,-11022.003,-15630.239
79320865,22,12466,228.42535,False,14072,-139.61238,-17508.988,-7877.552
79377406,22,12466,137.20184,False,13345,15770.935,-5488.2607,-9476.107
79397468,22,12466,234.07478,False,16137,5435.321,-18087.43,-3455.7495
79459817,22,12466,328.1917,False,13284,-13725.204,-9511.16,-9476.107
79479379,22,12466,191.74068,False,2873,-3212.0925,-13892.228000000001,12858.013
79505347,22,12466,116.18132,False,10192,6371.7344,8231.603000000001,-16133.249
79510016,22,12466,139.60318,False,2826,-8763.746,11247.59,12858.013
79520662,22,12466,184.03157,False,6905,4615.498,-18108.555,4406.5186
79566883,22,12466,165.85936,False,17260,14192.395,-12874.471000000001,-1209.9257
79566884,22,12466,145.28844,False,17260,14192.395,-12874.471000000001,-1209.9257
79577150,22,12466,200.55997,False,16377,12144.141000000001,-14563.953000000001,-3008.5063
79577151,22,12466,263.40414,False,16377,12144.141000000001,-14563.953000000001,-3008.5063
79582590,22,12466,210.41078,False,17186,-18016.34,-6525.916,-1209.9257
79619747,22,12466,146.99419,False,10827,-6213.725,10581.5,-14766.903999999999
79619748,22,12466,129.47758,False,10827,-6213.725,10581.5,-14766.903999999999
79619749,22,12466,180.51674,False,10827,-6213.725,10581.5,-14766.903999999999
79625094,22,12466,265.37042,False,1142,4712.0713,-8343.996,16637.732
79630220,22,12466,659.4233,False,12777,7813.5019999999995,-13908.794,-10683.382
79688206,22,12466,140.439,False,14917,15974.069,-8708.67,-6134.181
79688207,22,12466,531.4729,True,14917,15974.069,-8708.67,-6134.181
79714010,22,12466,174.14502,False,10483,-9151.995,-6369.9766,-15630.239
79724679,22,12466,531.5732,False,6488,10001.698,-15517.374,5274.196
79724680,22,12466,208.94339,False,6488,10001.698,-15517.374,5274.196
79740236,22,12466,154.30324,False,14511,15946.957,-8095.914000000001,-6985.0376
79740237,22,12466,242.00284,True,14511,15946.957,-8095.914000000001,-6985.0376
79755865,22,12466,190.18233,True,16810,13772.565,-13209.866000000002,-2110.8958
79766451,22,12466,104.63166,False,6173,-7325.2676,16805.715,5705.118
79771667,22,12466,171.29213,False,11571,-13177.16,4600.4536,-13184.774
79776640,22,12466,128.04532,False,8944,19180.85,-800.35455,307.27652
